生成的PPT文件保存为：cef_fonts_cjk\unicode_flash_mob_1.pptx
PPT创建进度: 100%|█████| 13277/13277 [13:46<00:00, 16.06slide/s]
         1236702138 function calls (1235652611 primitive calls) in 826.538 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  7089974    2.685    0.000    2.685    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\ns.py:64(clark_name)
  7966469    2.665    0.000    2.665    0.000 {built-in method __new__ of type object at 0x00007FFF6BAE68F0}
   451565    0.623    0.000    2.627    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:24(to_xml)
  7236237    2.388    0.000    2.388    0.000 {method 'split' of 'str' objects}
    39831    0.062    0.000    2.280    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:205(_next_shape_id)
    39831    0.146    0.000    2.218    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\groupshape.py:148(max_shape_id)
   132772    1.335    0.000    1.960    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:517(get_child_element)
    26554    0.061    0.000    1.821    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\groupshape.py:105(add_textbox)
    13277    0.029    0.000    1.795    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\slide.py:494(fill)
   225709    0.180    0.000    1.772    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:634(_remove_child)
    26652    0.029    0.000    1.719    0.000 {method '__exit__' of '_io._IOBase' objects}
    21216    0.023    0.000    1.706    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\utils.py:378(disp_len)
    26590    0.239    0.000    1.690    0.000 zipfile\__init__.py:1219(close)
     5304    0.028    0.000    1.683    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:1150(__str__)
    21216    0.025    0.000    1.660    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\utils.py:374(_text_width)
    21217    0.410    0.000    1.646    0.000 {built-in method builtins.sum}
     5304    0.197    0.000    1.617    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:464(format_meter)
    66385    0.109    0.000    1.602    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:554(add_child)
    13277    0.034    0.000    1.505    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\slide.py:100(get_or_add_bgPr)
  2616725    0.839    0.000    1.227    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\utils.py:375(<genexpr>)
    26554    0.141    0.000    1.214    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\autoshape.py:283(new_textbox_sp)
    66385    0.166    0.000    1.188    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:59(text)
   249912    1.162    0.000    1.162    0.000 {built-in method builtins.max}
    13277    0.053    0.000    1.124    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\parts\slide.py:154(new)
    66385    0.132    0.000    1.105    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:401(size)
  1963799    0.678    0.000    1.098    0.000 {built-in method builtins.isinstance}
   159357    0.417    0.000    1.090    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:209(set_attr_value)
    13277    0.039    0.000    1.085    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\slide.py:111(_change_to_noFill_bg)
    13291    0.012    0.000    1.085    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:406(blob)
    13292    1.082    0.000    1.082    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\oxml.py:37(serialize_part_xml)
    66385    0.120    0.000    1.077    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:430(_new_r)
    26587    0.033    0.000    1.077    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:737(target_ref)
     5304    0.014    0.000    1.067    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:457(print_status)
     5304    0.012    0.000    0.995    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\utils.py:386(disp_trim)
    26587    0.027    0.000    0.951    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\packuri.py:89(relative_ref)
    39831    0.082    0.000    0.942    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\autoshape.py:389(text_frame)
    79662    0.135    0.000    0.938    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\color.py:268(rgb)
